"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15","good_condition","renovated","city"
"8417",225800,4,1,1100,7110,1,0,0,4,7,880,220,1907,0,98030,47.3858,-122.227,1150,7110,"yes","no","Kent"
"7001",595000,4,2,3090,87120,1,0,0,4,7,1590,1500,1974,0,98072,47.7275,-122.122,2560,88426,"yes","no","Woodinville"
"12812",787500,4,1.75,1580,9382,1,0,0,3,7,1080,500,1963,0,98039,47.6353,-122.232,2010,9382,"yes","no","Medina"
"11457",300000,3,2,1550,8300,1,0,0,4,8,1550,0,1965,0,98055,47.4654,-122.195,1860,8000,"yes","no","Renton"
"5299",243400,4,1.5,1730,7464,2,0,0,4,7,1730,0,1959,0,98032,47.3782,-122.304,1370,7860,"yes","no","Kent"
"15174",805000,3,2.25,2860,11250,1,0,1,5,8,2290,570,1956,0,98166,47.4534,-122.372,2030,11250,"yes","no","Seattle"
"1141",625000,4,2,2020,6867,1,0,0,5,8,1010,1010,1942,0,98115,47.7,-122.292,1250,6842,"yes","no","Seattle"
"20774",345000,3,2.5,1680,2229,2,0,0,3,7,1680,0,2007,0,98155,47.7484,-122.322,1230,9300,"yes","no","Seattle"
"5476",258000,3,2,1680,19978,1,0,0,3,6,880,800,1948,0,98198,47.3924,-122.308,2150,11588,"yes","no","Seattle"
"12820",235000,3,1,1270,7153,1,0,0,5,6,1270,0,1949,0,98055,47.4815,-122.226,1650,7153,"yes","no","Renton"
"2720",354450,4,2.75,2140,9920,2,0,0,3,8,2140,0,1993,0,98001,47.3529,-122.274,2130,9920,"yes","no","Auburn"
"3065",490000,4,2.25,2090,10869,2,0,0,3,8,2090,0,1970,0,98033,47.6715,-122.164,1800,17788,"yes","no","Kirkland"
"17895",619400,4,2,2090,3610,1.5,0,0,5,7,1790,300,1927,0,98115,47.6881,-122.313,1660,3767,"yes","no","Seattle"
"10391",1399000,3,2.5,2560,3600,2,0,0,3,9,2110,450,1967,2003,98112,47.632,-122.279,2690,4800,"yes","yes","Seattle"
"7739",810000,4,3.5,4170,4322,2,0,0,3,9,2940,1230,2005,0,98074,47.6136,-122.041,2970,4922,"yes","no","Sammamish"
"2568",603500,6,2.75,2660,8400,1,0,0,5,8,1550,1110,1962,0,98006,47.549,-122.173,2280,8400,"yes","no","Bellevue"
"8582",510000,4,2.5,2610,8031,2,0,0,3,8,2610,0,1998,0,98155,47.7717,-122.27,2320,8031,"yes","no","Seattle"
"5022",320000,2,1,950,5316,1,0,2,3,7,950,0,1948,0,98126,47.57,-122.38,1620,6085,"yes","no","Seattle"
